unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,fold,SeasonalNaive
T000001,2005-01-01,2004-12-01,14.81617,18.201378,18.047153,13.809163,14.679835,14.777754,15.832436,16.133936,15.26836,14.914083,14,0,15.0
T000001,2005-02-01,2004-12-01,13.630046,15.01008,14.26501,13.926937,14.704904,13.71145,13.951847,14.662318,14.362164,12.641959,15,0,9.0
T000001,2005-03-01,2004-12-01,13.921331,17.410992,17.493938,13.9007845,15.603939,13.880334,14.917033,15.889322,14.267559,15.504342,21,0,14.0
T000001,2005-04-01,2004-12-01,14.915131,15.750872,15.659996,13.371256,15.650977,14.85302,15.447191,15.621068,15.273851,14.737946,20,0,15.0
T000001,2005-05-01,2004-12-01,14.267732,17.350782,16.996975,12.930801,14.822475,13.510761,14.417778,16.560333,14.663936,15.950851,12,0,12.0
T000001,2005-06-01,2004-12-01,15.381515,15.971816,15.674958,12.602919,15.136205,16.014418,15.920078,16.692068,15.130068,15.30478,14,0,13.0
T000001,2005-07-01,2004-12-01,14.509658,15.293423,15.677715,12.1325,14.72233,15.159696,15.295214,17.362843,13.801121,16.117659,11,0,16.0
T000001,2005-08-01,2004-12-01,14.498448,14.518897,14.214539,10.705739,14.975576,16.033337,16.423811,16.592567,13.809059,16.417065,15,0,13.0
T000001,2005-09-01,2004-12-01,14.6183815,14.342552,14.194103,8.21735,14.960236,15.96612,16.179405,15.844467,14.692783,14.626831,20,0,15.0
T000001,2005-10-01,2004-12-01,15.029662,16.83057,16.319727,6.623586,14.949714,16.423439,16.258099,16.51699,14.945803,16.127928,11,0,16.0
T000001,2005-11-01,2004-12-01,15.619073,16.06002,15.773599,6.146599,14.866657,16.82088,17.639046,15.979549,15.372775,14.5655155,11,0,21.0
T000001,2005-12-01,2004-12-01,15.008252,16.865692,17.047853,6.0167313,15.116148,15.805761,15.2231045,14.974907,15.385223,14.316713,19,0,12.0
T000002,2005-01-01,2004-12-01,14.131805,15.525758,15.39247,14.411346,14.7320595,12.377843,16.427908,15.814666,13.977554,14.729519,16,0,14.0
T000002,2005-02-01,2004-12-01,13.438944,12.748364,13.226112,12.160792,15.414259,10.863513,16.533648,14.084568,12.762074,11.399363,15,0,10.0
T000002,2005-03-01,2004-12-01,13.153594,15.454021,15.640415,10.392563,14.277086,10.353996,15.289901,14.929661,13.392729,14.508805,16,0,9.0
T000002,2005-04-01,2004-12-01,12.6086445,14.60924,14.451252,10.188337,14.03356,10.022071,14.708089,14.074339,13.313719,12.865511,15,0,7.0
T000002,2005-05-01,2004-12-01,13.695754,14.777253,15.441866,9.916501,14.982668,9.977248,16.80206,14.394539,12.142598,14.014747,8,0,15.0
T000002,2005-06-01,2004-12-01,13.20657,13.48247,14.010106,10.319658,14.317983,7.987153,13.898923,14.2549095,12.239854,13.334688,19,0,9.0
