unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,fold,SeasonalNaive
T000000,1992-08-31,1992-07-31,6729.449,6543.997,5758.2373,6561.7314,6849.532,6171.3906,6538.3184,6660.2773,6483.1396,5701.9756,6611.115,0,6483.14
T000000,1992-09-30,1992-07-31,4194.8833,4194.416,4422.054,3763.561,4072.324,4107.447,4261.526,4172.709,4063.5027,4165.859,4150.2395,0,4063.5027
T000000,1992-10-31,1992-07-31,2965.4673,3074.2744,2992.6677,3017.2205,2772.4895,3073.0818,2950.5955,3134.5032,2900.23,2837.8193,2841.0,0,2900.23
T000000,1992-11-30,1992-07-31,2043.6012,1930.7933,2276.0818,2208.0688,1948.9854,2394.6235,2111.3506,2047.9586,1907.095,1942.8708,1813.44,0,1907.095
T000000,1992-12-31,1992-07-31,2182.909,2340.2798,2309.6963,1939.5382,1875.2687,2411.9646,2601.568,2484.7573,2338.51,1970.1017,2261.08,0,2338.51
T000000,1993-01-31,1992-07-31,1877.474,1870.0836,1838.3175,2025.2306,1929.8408,2139.3154,1960.4248,1950.5483,1787.165,1804.5997,1873.605,0,1787.1651
T000000,1993-02-28,1992-07-31,1716.9609,1750.4438,1903.6475,1945.6722,1688.8375,1706.6696,1877.5457,1893.7211,1699.6451,1985.7622,1772.84,0,1699.6451
T000000,1993-03-31,1992-07-31,2144.6074,2227.4849,2142.4922,2038.0566,1794.6729,2367.5818,2313.844,2337.696,1979.1052,1889.5836,2049.565,0,1979.1052
T000000,1993-04-30,1992-07-31,2633.4058,3017.53,2499.7024,2330.4204,2237.947,3060.0723,3079.7344,2946.655,2824.26,2351.3818,2932.265,0,2824.26
T000000,1993-05-31,1992-07-31,3220.2039,3244.81,3437.1616,2783.0176,3025.2896,3400.6707,3295.126,3271.2744,3076.505,2812.837,3113.255,0,3076.505
T000000,1993-06-30,1992-07-31,3836.025,3775.6262,3921.748,3889.658,4163.2827,3862.2114,3683.722,4021.303,3402.585,3836.9583,3461.505,0,3402.585
T000000,1993-07-31,1992-07-31,6553.7773,6362.595,6552.4717,6488.6406,6625.161,6041.604,6236.415,6527.1123,5985.83,6210.607,6265.74,0,5985.83
T000001,1992-08-31,1992-07-31,195243.4,194858.84,174810.98,177440.22,187173.45,184088.7,183508.39,194189.78,177779.3,180667.25,176215.2,0,177779.3
T000001,1992-09-30,1992-07-31,157350.31,160588.62,158646.03,145783.94,153660.67,151380.7,153753.5,156276.67,146222.3,160454.97,160025.7,0,146222.3
T000001,1992-10-31,1992-07-31,150256.98,153571.25,149155.55,131813.08,140818.33,136834.47,145524.1,146875.12,143864.2,145360.25,150995.5,0,143864.2
T000001,1992-11-30,1992-07-31,107956.305,102383.41,108276.305,99519.27,92374.766,105675.42,103197.73,100967.91,95231.29,97665.51,112002.6,0,95231.29
T000001,1992-12-31,1992-07-31,89446.83,95269.766,94347.8,85783.35,89337.54,92879.64,97458.555,91450.53,87472.69,93382.805,85668.59,0,87472.69
T000001,1993-01-31,1992-07-31,107739.11,105474.414,100778.664,85788.125,108517.0,98202.47,103941.625,101589.875,98428.95,102451.734,107283.1,0,98428.95
T000001,1993-02-28,1992-07-31,84209.3,92141.09,89802.445,86318.44,85266.734,82781.45,89332.35,86304.58,80790.9,91145.55,86953.77,0,80790.9
T000001,1993-03-31,1992-07-31,88101.516,90679.91,87697.6,87449.984,80641.86,97712.766,100065.62,90688.75,90682.21,86179.8,95141.96,0,90682.21
T000001,1993-04-30,1992-07-31,104724.47,118427.74,100906.59,95922.89,105964.016,103599.625,105535.234,107804.68,97428.01,97849.61,104902.6,0,97428.01
T000001,1993-05-31,1992-07-31,115724.52,124302.43,122873.63,115296.96,115215.54,122257.6,123067.625,119018.45,115606.6,111364.55,117794.5,0,115606.6
T000001,1993-06-30,1992-07-31,133163.52,140125.16,131603.6,143197.28,140385.7,144111.8,138482.05,131666.16,130511.8,134237.28,139187.5,0,130511.8
T000001,1993-07-31,1992-07-31,187494.28,180932.64,184202.06,186268.08,172556.4,180318.16,183036.28,182406.88,175490.2,183089.53,183571.9,0,175490.2
T000002,2005-01-31,2004-12-31,93767.42,82275.81,91888.5,80493.48,80267.625,75987.18,73765.4,83082.71,63632.0,84350.51,89162.0,0,63632.0
T000002,2005-02-28,2004-12-31,94019.94,78245.98,97969.04,82767.305,74471.36,77724.07,77368.625,75164.06,69411.0,93965.91,66728.0,0,69411.0
T000002,2005-03-31,2004-12-31,101608.3,98455.49,104438.66,88352.28,93329.9,92499.86,91275.77,96424.74,86238.0,100977.62,104864.0,0,86238.0
T000002,2005-04-30,2004-12-31,78226.34,82198.66,81172.31,90140.28,96536.13,94919.73,96335.41,82143.32,89248.0,85669.68,102253.0,0,89248.0
T000002,2005-05-31,2004-12-31,74815.91,76896.31,78392.79,91072.75,92346.57,89990.33,87717.32,76354.234,80577.0,74982.91,91564.0,0,80577.0
T000002,2005-06-30,2004-12-31,87714.96,87383.83,83590.375,94131.97,103692.7,102163.55,99856.24,85762.59,93187.0,74877.414,99782.0,0,93187.0
T000002,2005-07-31,2004-12-31,99705.516,96715.46,99293.484,99854.71,106132.14,100105.54,104508.25,96567.055,96569.0,93107.17,100335.0,0,96569.0
