unique_id,ds,cutoff,AutoTFT,AutoNBEATS,AutoTiDE,AutoNLinear,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,fold,SeasonalNaive
0,2019-06-05,2019-06-04,-0.6312467,-0.634114,-0.6412206,-0.6498085,-0.6464482,-0.63017434,-0.64683104,-0.6567033,-0.6142743,-0.6353737,-0.6864413925127599,0,-0.5072610554134805
0,2019-06-06,2019-06-04,-0.62771606,-0.6257428,-0.6566659,-0.6624106,-0.6441215,-0.6350436,-0.66718066,-0.67204064,-0.61015254,-0.63639295,-0.6661568260486906,0,-0.5681147548056886
0,2019-06-07,2019-06-04,-0.62404644,-0.6392953,-0.6559209,-0.66668314,-0.6678641,-0.63475823,-0.6748783,-0.68641037,-0.63456917,-0.63704014,-0.5883993212697579,0,-0.6238973125818794
0,2019-06-08,2019-06-04,-0.6216388,-0.6052965,-0.61765337,-0.6064546,-0.60702777,-0.61266404,-0.6169115,-0.62695354,-0.5954284,-0.5986507,-0.5968512239631202,0,-0.6746087287420529
0,2019-06-09,2019-06-04,-0.62195444,-0.5661893,-0.58176196,-0.5623117,-0.57117057,-0.57962006,-0.5682337,-0.5894068,-0.5641038,-0.5568613,-0.5562820910349815,0,-0.622206932043207
0,2019-06-10,2019-06-04,-0.622594,-0.5656432,-0.5703902,-0.56173325,-0.5591599,-0.5982238,-0.5677354,-0.5727432,-0.57020146,-0.55972666,-0.652633781739311,0,-0.5579724715736539
0,2019-06-11,2019-06-04,-0.6228507,-0.6265498,-0.61608195,-0.62908846,-0.6195292,-0.61755055,-0.630947,-0.613992,-0.6329847,-0.6268086,-0.6340395958139141,0,-0.5681147548056886
0,2019-06-12,2019-06-04,-0.62192017,-0.6155973,-0.6095701,-0.6278971,-0.63060504,-0.61260915,-0.6323663,-0.62876636,-0.61011773,-0.61844146,-0.5140225775681703,0,-0.5714955158830336
0,2019-06-13,2019-06-04,-0.6187761,-0.6236563,-0.64639443,-0.65271443,-0.6384518,-0.6234534,-0.6609641,-0.65644383,-0.63734305,-0.62642235,-0.6053031266564824,0,-0.6171357904271896
0,2019-06-14,2019-06-04,-0.61960965,-0.62822366,-0.6518638,-0.6610075,-0.662941,-0.63167727,-0.66315997,-0.67265755,-0.6536058,-0.6303563,-0.6019223655791376,0,-0.6560145428166558
0,2019-06-15,2019-06-04,-0.6247074,-0.6016782,-0.6135223,-0.600692,-0.6039344,-0.6127319,-0.59651625,-0.6197766,-0.59527713,-0.59642273,-0.5934704628857753,0,-0.6019223655791376
0,2019-06-16,2019-06-04,-0.6252364,-0.56637126,-0.57836807,-0.5620568,-0.5724171,-0.57835615,-0.5591442,-0.58231616,-0.54503673,-0.5529297,-0.5512109494189642,0,-0.588399321269758
0,2019-06-17,2019-06-04,-0.622649,-0.5493589,-0.569649,-0.5521895,-0.56257623,-0.5939073,-0.5523402,-0.56325,-0.5669554,-0.5570812,-0.5241648608002051,0,-0.5106418164908254
0,2019-06-18,2019-06-04,-0.6238223,-0.61506236,-0.61442775,-0.6178901,-0.6070374,-0.6163279,-0.618091,-0.5962241,-0.6254658,-0.6159862,-0.5816377991150682,0,-0.5934704628857753
1,2019-06-05,2019-06-04,-0.7766118,-0.7884077,-0.7760067,-0.77356046,-0.7469913,-0.770501,-0.77536494,-0.8087226,-0.78400123,-0.7937389,-0.817294599670122,0,-0.0005092536701005734
1,2019-06-06,2019-06-04,-0.7624645,-0.7730518,-0.76829803,-0.75098777,-0.7656417,-0.761933,-0.75922453,-0.80612403,-0.7571041,-0.7794034,-0.807778653891481,0,0.059758402927959246
1,2019-06-07,2019-06-04,-0.73681533,-0.7506356,-0.7335485,-0.7317719,-0.71196324,-0.7453642,-0.74004483,-0.77087116,-0.74506027,-0.75948954,-0.8743902743419681,0,0.05817241196485239
1,2019-06-08,2019-06-04,-0.7314721,-0.74256116,-0.7569487,-0.74263203,-0.74110925,-0.70927685,-0.7538905,-0.81248903,-0.7483709,-0.755453,-0.7221351418837118,0,0.023280610776501984
1,2019-06-09,2019-06-04,-0.7588659,-0.7614141,-0.77983415,-0.77334434,-0.7666415,-0.7411316,-0.79026395,-0.8271015,-0.7769201,-0.77789325,-0.7839887894448784,0,-0.0005092536701005804
1,2019-06-10,2019-06-04,-0.75989723,-0.7678667,-0.78052235,-0.7880114,-0.7651276,-0.78176486,-0.7943816,-0.81603634,-0.78791475,-0.7847985,-0.7633709069244895,0,-0.04174501871087837
1,2019-06-11,2019-06-04,-0.75366586,-0.75989985,-0.76234126,-0.7736095,-0.7645249,-0.75278944,-0.7820943,-0.80140364,-0.76852643,-0.77266675,-0.6808993768429339,0,-0.046502991600198884
1,2019-06-12,2019-06-04,-0.75180453,-0.75603163,-0.7561982,-0.7542319,-0.75151247,-0.74846315,-0.76451045,-0.80541795,-0.7580295,-0.772584,-0.8807342381943956,0,-0.14483443131282284
1,2019-06-13,2019-06-04,-0.7499171,-0.75425243,-0.7507404,-0.74120754,-0.7600087,-0.7545166,-0.7435338,-0.8043032,-0.7442635,-0.76245195,-0.8807342381943956,0,-0.10835663916136556
1,2019-06-14,2019-06-04,-0.7340509,-0.7413701,-0.7373413,-0.72889566,-0.6873486,-0.75189024,-0.7295553,-0.7735741,-0.74141246,-0.75448567,-0.8379124821905108,0,-0.04015902774777153
1,2019-06-15,2019-06-04,-0.7426617,-0.74777037,-0.76304084,-0.7434319,-0.73855996,-0.72467947,-0.74213684,-0.81715,-0.7436597,-0.75461704,-0.8331545093011904,0,-0.04015902774777152
1,2019-06-16,2019-06-04,-0.76822805,-0.7735367,-0.7997457,-0.78231263,-0.7752114,-0.7605813,-0.7817145,-0.8377175,-0.7758056,-0.78420156,-0.9283139670876007,0,-0.14483443131282284
1,2019-06-17,2019-06-04,-0.7618113,-0.7676983,-0.7769507,-0.78715634,-0.75983185,-0.794154,-0.78863364,-0.82425845,-0.78739727,-0.78439003,-0.8204665815963357,0,-0.1781402415380664
1,2019-06-18,2019-06-04,-0.755613,-0.75506127,-0.7500831,-0.77245235,-0.7596708,-0.76208735,-0.77880836,-0.7999866,-0.77183646,-0.7763501,-0.845842437006045,0,-0.1353184855341818
10,2019-06-05,2019-06-04,0.10819926,0.10348221,0.1037005,0.0998511,0.07304406,0.20229991,0.10942624,0.07647896,0.118587315,0.13154043,0.12431881432310148,0,0.6855705458728724
10,2019-06-06,2019-06-04,0.12427416,0.13709171,0.10363254,0.15624864,0.11609143,0.21714765,0.1673512,0.06634888,0.124899745,0.14699773,0.1594993164464836,0,0.6577534046590353
10,2019-06-07,2019-06-04,-0.03994269,-0.122569114,-0.1401859,-0.14736348,-0.11253604,-0.1471721,-0.13756226,-0.16260019,-0.037831962,-0.17172657,-0.009857984473053652,0,0.8663819637628131
10,2019-06-08,2019-06-04,-0.024772363,-0.036961026,8.971989e-05,-0.038805366,-0.07143561,-0.04995931,-0.03520684,-0.02059225,-0.003745705,-0.047238033,-0.12030839811623013,0,0.6904794531459023
10,2019-06-09,2019-06-04,0.01702026,0.085102335,0.090751365,0.0956836,0.102044284,0.07765228,0.10445622,0.061409786,0.076288134,0.075283095,0.012232098255581636,0,0.9432881777069507
