unique_id,ds,cutoff,NBEATS,TiDE,NLinear,TFT,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,y,SeasonalNaive
T000000,1980-06-30,1980-05-31,509956.44,1191419.0,1134711.4,1112236.0,1081022.9,1195170.4,1305057.8,926875.25,1249078.4,1351619.1,516501.0,1179180.0
T000000,1980-07-31,1980-05-31,983420.75,1417908.0,1401863.0,1048266.3,1331578.1,1148838.9,1841426.2,1237588.8,1541249.5,1344376.5,1378010.0,1939450.0
T000000,1980-08-31,1980-05-31,49685.188,590984.0,91169.31,1059693.2,612678.9,686763.25,440665.2,547574.7,888640.9,1474663.8,840271.0,630177.0
T000000,1980-09-30,1980-05-31,540285.75,1002916.75,1015304.9,1039263.06,1007698.25,996955.7,1095186.0,818000.2,1165626.9,1460747.2,437741.0,913313.0
T000000,1980-10-31,1980-05-31,898480.9,1234185.6,1322224.4,999881.0,987041.9,1273210.9,1582313.4,1186353.8,1451597.0,1483293.4,556951.0,1617990.0
T000000,1980-11-30,1980-05-31,54234.125,589382.1,462747.8,969530.1,583930.8,747518.44,716889.3,660556.0,1058035.2,1540611.9,700000.0,622073.0
T000001,1985-08-31,1985-07-31,263.85062,264.84857,204.8848,257.88043,276.60098,283.04395,250.7049,273.9325,252.33786,190.16245,260.59,152.05
T000001,1985-09-30,1985-07-31,261.12692,290.16968,265.44122,264.28375,292.92868,280.16125,273.1054,281.96283,252.50992,190.49629,258.14,161.14
T000001,1985-10-31,1985-07-31,264.82474,274.2635,224.32242,268.86636,271.30197,278.40942,262.79013,281.7256,252.79355,207.6505,263.29,151.96
T000001,1985-11-30,1985-07-31,263.20496,259.5434,240.35033,274.3388,293.1059,282.42145,232.43387,290.13876,253.17148,203.8079,253.5,186.11
T000001,1985-12-31,1985-07-31,265.79785,242.32051,240.09924,280.79004,259.36407,272.0387,258.60645,295.0968,253.41882,208.09407,256.08,188.91
T000001,1986-01-31,1985-07-31,267.84717,301.26404,292.88803,286.65622,213.72922,329.7867,290.1666,326.03134,252.64944,214.42656,249.28,256.66
T000002,1987-01-31,1986-12-31,914.84766,875.0658,800.5555,907.5497,892.5153,1038.516,864.7494,790.9158,785.96844,884.23474,825.0,754.0
T000002,1987-02-28,1986-12-31,879.3949,959.967,975.1261,961.32184,957.20795,978.44214,980.4397,863.01276,873.481,884.1343,624.0,886.0
T000002,1987-03-31,1986-12-31,841.22107,972.6509,855.35596,1005.0106,960.7874,1021.91003,933.5515,875.88043,860.6495,920.00464,533.0,833.0
T000002,1987-04-30,1986-12-31,861.66486,987.28345,953.6983,1023.4767,912.8176,1035.4808,841.4205,839.4868,872.04974,914.06555,611.0,859.0
T000002,1987-05-31,1986-12-31,864.97156,819.5666,877.34717,1026.0507,972.1878,1094.4303,1005.359,932.6361,983.56555,922.0757,698.0,1006.0
T000002,1987-06-30,1986-12-31,866.2505,1024.5757,962.0984,1024.1013,975.2232,1050.8785,992.5156,936.5122,932.8699,935.51666,695.0,938.0
T000003,1982-02-28,1982-01-31,4605.545,5554.7886,6155.7705,4564.8926,4818.557,4181.492,5969.1294,4783.711,5086.4487,6883.886,4010.0,8202.0
T000003,1982-03-31,1982-01-31,4946.3643,5859.271,5242.304,4663.351,5072.1655,4457.7354,6406.231,4394.332,6377.871,6856.619,3633.0,7582.0
T000003,1982-04-30,1982-01-31,5022.6646,5594.0693,5028.226,4816.791,5091.6875,4170.717,4724.383,4358.4893,6632.3228,7163.627,4680.0,6880.0
T000003,1982-05-31,1982-01-31,5092.0894,5898.435,5857.0195,4861.1074,5754.334,4276.7383,4665.926,4614.1377,6003.716,7145.9805,4963.0,6841.0
