unique_id,ds,cutoff,NBEATS,TiDE,NLinear,TFT,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,y,SeasonalNaive
T000000,1993-08-31,1993-07-31,6713.904,6819.5977,6019.958,6961.344,6794.4487,6419.5586,6779.689,6786.914,6611.105,5817.342,6857.8,6611.115
T000000,1993-09-30,1993-07-31,4279.498,4581.283,4460.486,4322.8,4569.839,4256.162,4618.9653,4053.4663,4150.2393,4209.8584,4346.09,4150.2395
T000000,1993-10-31,1993-07-31,3057.7095,3373.6196,3079.2493,3251.0247,3378.725,2878.9983,3216.8054,2986.211,2841.0,2991.7437,3154.73,2841.0
T000000,1993-11-30,1993-07-31,2022.7968,2101.5586,2289.0505,2321.2134,2125.042,2063.5933,2043.2861,1840.5524,1813.4401,2056.876,2142.21,1813.44
T000000,1993-12-31,1993-07-31,2315.8687,2442.211,2416.5867,2160.062,2917.3628,2216.2393,2407.2483,2049.5034,2261.0806,2124.79,2375.725,2261.08
T000000,1994-01-31,1993-07-31,2031.5518,2107.5605,1983.7355,2113.2505,2260.7954,1919.3302,2037.0732,1818.0231,1873.6057,2005.979,1981.11,1873.605
T000000,1994-02-28,1993-07-31,1812.9768,1902.252,2160.7725,2044.964,1598.5054,1843.2941,1917.2415,1757.0826,1772.84,2030.8866,1959.865,1772.84
T000000,1994-03-31,1993-07-31,2129.8035,2218.3447,2278.5435,2542.9875,2015.532,2232.066,2222.85,2111.712,2049.565,2178.2795,2466.31,2049.565
T000000,1994-04-30,1993-07-31,2947.8506,2958.041,2763.464,2854.0754,3378.52,2967.151,3137.67,2831.5447,2932.265,2561.5388,2851.715,2932.265
T000000,1994-05-31,1993-07-31,3216.0916,3370.6099,3374.8157,3554.4922,3412.7893,3379.6501,3266.2354,3228.4265,3113.255,3053.2686,3671.805,3113.255
T000000,1994-06-30,1993-07-31,3722.6453,3851.6064,3775.1626,4856.9277,3617.303,3972.0964,3712.9243,3783.8604,3461.505,3764.065,3806.78,3461.505
T000000,1994-07-31,1993-07-31,6370.5913,6827.6025,6474.0244,6535.409,6399.7847,6618.5938,6574.7026,6821.17,6265.74,6621.6436,6995.05,6265.74
