unique_id,ds,cutoff,TFT,NBEATS,TiDE,NLinear,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,y,SeasonalNaive
0,2019-06-19,2019-06-18,-0.5860918,-0.57884467,-0.57721657,-0.56507754,-0.58746284,-0.5736526,-0.5642618,-0.5657354,-0.5753014,-0.5779411,-0.5292360024162224,-0.4852861084107387
0,2019-06-20,2019-06-18,-0.58436686,-0.596318,-0.59874403,-0.593867,-0.6069581,-0.5789516,-0.59343684,-0.60404253,-0.59391546,-0.584649,-0.7506758529823129,-0.4852861084107387
0,2019-06-21,2019-06-18,-0.5904233,-0.59100306,-0.59678125,-0.59478164,-0.6213802,-0.5807973,-0.59578025,-0.6057975,-0.59481865,-0.5832624,-0.7996968886038139,-0.6238973125818793
0,2019-06-22,2019-06-18,-0.5912037,-0.580395,-0.5646152,-0.57446563,-0.5798104,-0.5793923,-0.5760488,-0.5718734,-0.5830716,-0.56859237,-0.5478301883416193,-0.6492530206619661
0,2019-06-23,2019-06-18,-0.58291066,-0.54692596,-0.5381025,-0.5360608,-0.5468176,-0.58010125,-0.5358745,-0.54441845,-0.5565881,-0.53996146,-0.512332197029498,-0.6915125341287772
0,2019-06-24,2019-06-18,-0.5986352,-0.57517064,-0.5425113,-0.5666021,-0.5377002,-0.5875105,-0.56757057,-0.55022955,-0.56328857,-0.55752397,-0.6340395958139141,-0.5968512239631203
0,2019-06-25,2019-06-18,-0.6126925,-0.5969266,-0.59336287,-0.59449005,-0.5920793,-0.60039985,-0.5961677,-0.58601385,-0.5878052,-0.5772374,-0.667847206587363,-0.6086838877338274
0,2019-06-26,2019-06-18,-0.6083544,-0.58949006,-0.5827615,-0.5760555,-0.5845149,-0.5917045,-0.5742214,-0.5700414,-0.5830221,-0.57531637,-0.5799474185763959,-0.5478301883416193
0,2019-06-27,2019-06-18,-0.61095464,-0.6155584,-0.6081279,-0.6076111,-0.6031168,-0.5979763,-0.608355,-0.6044795,-0.6035154,-0.5893551,-0.5799474185763958,-0.5495205688802917
0,2019-06-28,2019-06-18,-0.61552894,-0.61412835,-0.6043213,-0.60707366,-0.62054074,-0.599284,-0.6065159,-0.61056364,-0.5931177,-0.5933656,-0.5681147548056886,-0.5630436131896713
0,2019-06-29,2019-06-18,-0.60731757,-0.59213734,-0.5715511,-0.5774125,-0.5813581,-0.5943129,-0.58052784,-0.57654935,-0.5807086,-0.572126,-0.5207840997228602,-0.5664243742670162
