unique_id,ds,cutoff,AutoNBEATS,AutoTiDE,AutoNLinear,AutoTFT,AutoKAN,AutoMLP,AutoDLinear,AutoNHITS,AutoDeepNPTS,AutoPatchTST,y,fold,SeasonalNaive
T000000,1992-12-31,1992-09-30,7358.335,7651.755,7071.8145,7919.4795,7203.9824,7756.614,9038.467,7494.627,7145.835,7506.914,6915.52,0,7145.835
T000000,1993-03-31,1992-09-30,5770.34,6091.334,5534.1064,7016.1357,5672.193,6680.308,6597.6997,6065.867,5465.9155,4796.253,5696.01,0,5465.9154
T000000,1993-06-30,1992-09-30,9723.578,10111.219,10448.932,11084.783,9633.395,11130.609,10339.637,9734.3545,9303.35,11700.358,9507.025,0,9303.35
T000000,1993-09-30,1992-09-30,17879.852,18143.832,18915.361,16673.793,17869.566,17647.82,17656.84,18248.531,16747.184,18226.629,17469.63,0,16747.1845
T000001,1992-12-31,1992-09-30,345036.56,346000.25,341840.38,370022.06,338099.94,338439.97,369536.03,339114.94,326568.2,331620.28,348666.69,0,326568.18
T000001,1993-03-31,1992-09-30,282078.72,294571.0,283765.44,314429.4,279873.8,304193.9,303530.8,288610.2,269902.06,261076.45,289378.83,0,269902.06
T000001,1993-06-30,1992-09-30,352346.94,365042.62,369539.56,392238.47,351589.1,397662.56,371170.47,354498.8,343546.4,392165.2,361884.6,0,343546.41
T000001,1993-09-30,1992-09-30,539914.5,530020.1,556976.56,527841.8,540243.75,525549.0,540208.0,538902.6,511731.1,543891.8,540909.5,0,511731.1
T000002,2005-03-31,2004-12-31,306950.0,274322.88,290683.3,243139.11,258142.36,244567.5,246734.86,271723.25,219281.0,289877.44,260754.0,0,219281.0
T000002,2005-06-30,2004-12-31,256912.16,239421.53,269677.47,280218.4,292067.62,249192.19,286384.34,257015.4,263012.0,313507.28,293599.0,0,263012.0
T000002,2005-09-30,2004-12-31,315764.78,291063.97,298458.88,288429.88,287790.28,299584.4,284626.66,285289.5,263708.0,315057.06,274916.0,0,263708.0
T000002,2005-12-31,2004-12-31,348165.56,323611.44,327350.25,317400.22,355173.97,319173.53,324080.3,335897.47,305695.0,311643.62,313820.0,0,305695.0
T000003,2005-03-31,2004-12-31,86625.45,74304.22,81647.836,64802.332,77232.56,71310.54,67480.086,75528.42,58812.0,75432.28,74078.0,0,58812.0
T000003,2005-06-30,2004-12-31,67447.26,59985.99,68711.24,69706.5,71750.9,63310.168,70004.53,62334.03,63616.0,68244.11,70931.0,0,63616.0
T000003,2005-09-30,2004-12-31,78298.7,72237.375,73622.35,67210.53,67503.69,70545.016,68957.836,66932.04,63246.0,75443.16,68004.0,0,63246.0
T000003,2005-12-31,2004-12-31,97448.984,89180.74,93364.51,89961.234,98448.49,89727.94,93379.57,93595.82,88251.0,91956.3,95829.0,0,88251.0
T000004,2005-03-31,2004-12-31,125994.516,110086.23,121765.26,97906.66,114724.88,103403.02,97756.64,113378.66,86579.0,110829.414,114837.0,0,86579.0
T000004,2005-06-30,2004-12-31,104189.305,90989.3,109422.99,108721.43,116351.92,97749.79,108444.76,100103.78,99266.0,113845.1,131353.0,0,99266.0
T000004,2005-09-30,2004-12-31,123178.54,108659.26,115860.14,109786.15,112636.89,112496.01,108319.39,111159.375,100165.0,117299.7,136027.0,0,100165.0
