unique_id,ds,cutoff,NBEATS,TiDE,NLinear,TFT,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,y,SeasonalNaive
T000000,1992-12-31,1991-12-31,7624.6045,7388.116,7092.2446,7435.7046,7400.741,7532.8223,7030.4785,7351.5806,6876.58,7286.665,7851.91,6876.58
T000000,1993-12-31,1991-12-31,8445.73,7971.1113,7226.384,7967.423,7653.6465,8189.6084,7169.662,7846.474,6876.58,7658.026,8407.84,6876.58
T000000,1994-12-31,1991-12-31,9379.822,7878.664,7378.059,8138.132,7834.134,8845.957,7273.9033,8310.966,6876.58,7792.43,9156.01,6876.58
T000001,1992-12-31,1991-12-31,4681.8223,5407.215,4983.509,5337.8066,5046.2207,5151.0957,5150.216,5016.0356,5065.0,5073.963,5056.0,5065.0
T000001,1993-12-31,1991-12-31,4484.2266,5723.713,4998.6934,5531.2866,5115.781,5341.157,5266.724,5075.87,5065.0,5163.842,5067.2,5065.0
T000001,1994-12-31,1991-12-31,4718.455,5461.0024,5096.0293,5562.752,5214.686,5607.034,5333.2246,5140.0513,5065.0,5192.584,5209.6,5065.0
T000002,1992-12-31,1991-12-31,3613.9768,3622.5117,3454.505,3473.3389,3431.4001,3555.9307,3473.2922,3437.2168,3407.4,3395.7703,3500.6,3407.4
T000002,1993-12-31,1991-12-31,3838.1235,3859.1614,3481.8286,3735.4766,3496.884,3633.3726,3552.8303,3409.2231,3407.4,3411.6382,3437.8,3407.4
T000002,1994-12-31,1991-12-31,3946.7078,3699.7986,3435.5225,3911.0803,3569.3438,3740.5667,3597.8628,3371.5366,3407.4,3414.5962,3007.0,3407.4
T000003,1992-12-31,1991-12-31,6006.4385,6004.047,5858.6797,5990.767,6034.0757,6091.0674,5779.0967,5793.5684,5656.72,5846.24,5077.02,5656.72
T000003,1993-12-31,1991-12-31,6102.9736,6407.179,5936.9307,6309.8047,6238.7734,6447.815,5895.077,6035.6455,5656.72,6017.0015,5403.4,5656.72
T000003,1994-12-31,1991-12-31,6498.2144,6323.178,6042.8706,6412.217,6375.66,6924.288,5976.7266,6296.114,5656.72,6085.202,5009.52,5656.72
