unique_id,ds,cutoff,NBEATS,TiDE,NLinear,TFT,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,y,SeasonalNaive
T000000,1993-12-31,1993-09-30,7669.9824,7955.3135,7362.0684,7783.605,7608.723,6516.1377,9582.162,8047.475,6915.52,9688.592,7672.665,6915.52
T000000,1994-03-31,1993-09-30,6141.1167,6254.1104,6235.9014,6828.996,5987.6973,6770.922,7002.43,6441.3604,5696.01,9736.925,6407.285,5696.01
T000000,1994-06-30,1993-09-30,10478.96,10376.081,11015.918,11439.24,10160.245,9519.969,10816.856,10337.001,9507.025,14593.906,10330.3,9507.025
T000000,1994-09-30,1993-09-30,18452.258,19006.79,18035.434,18313.129,18315.516,18382.834,18198.574,18673.11,17469.63,18726.457,6995.05,17469.63
T000001,1993-12-31,1993-09-30,370091.12,373664.38,365492.75,385687.16,375357.8,343511.28,408702.9,372524.0,348666.7,388616.7,386096.5,348666.69
T000001,1994-03-31,1993-09-30,306718.1,307375.25,312175.97,330539.2,302294.06,326101.3,326777.8,311811.12,289378.84,371336.44,304618.082,289378.83
T000001,1994-06-30,1993-09-30,385663.78,386590.22,394255.8,417260.12,383674.28,371817.5,393604.06,381330.75,361884.6,461068.1,417078.1932,361884.6
T000001,1994-09-30,1993-09-30,567865.4,576126.5,552989.06,559900.25,571653.3,583111.4,559522.0,572979.25,540909.5,568325.0,199405.116,540909.5
T000002,2006-03-31,2005-12-31,264564.6,291140.66,266312.34,278984.5,288051.7,268373.72,291081.28,284572.75,260754.0,306988.5,264012.0,260754.0
T000002,2006-06-30,2005-12-31,305625.75,281396.4,301531.22,305921.53,316117.3,272406.34,317708.2,280124.1,293599.0,323054.7,300244.0,293599.0
T000002,2006-09-30,2005-12-31,289495.28,295003.16,287664.7,289996.2,313245.84,301865.94,292953.16,314968.28,274916.0,309788.78,276400.0,274916.0
T000002,2006-12-31,2005-12-31,332470.53,361821.78,319706.53,325452.22,354265.97,359428.6,322408.1,358540.2,313820.0,318382.7,318369.0,313820.0
T000003,2006-03-31,2005-12-31,76979.23,84761.88,77571.42,77214.586,86655.11,79321.516,84202.79,84341.95,74078.0,89132.484,80207.0,74078.0
