unique_id,ds,cutoff,NBEATS,TiDE,NLinear,TFT,KAN,MLP,DLinear,NHITS,DeepNPTS,PatchTST,y,SeasonalNaive
T000000,1994-01-31,1993-10-31,5825.4224,5812.216,5774.907,5945.597,5799.052,5855.773,5806.517,5848.286,5798.45,5817.192,5809.05,5531.5
T000000,1994-04-30,1993-10-31,5881.787,5943.728,5806.0977,6030.61,5805.9644,5918.1074,5858.252,5930.9575,5798.4453,5824.939,5707.05,5670.6
T000000,1994-07-31,1993-10-31,5871.5537,5963.825,5818.3657,6083.346,5864.0903,5945.408,5859.263,5954.8286,5798.45,5856.4414,5661.75,5730.0
T000000,1994-10-31,1993-10-31,5893.822,6029.3457,5832.89,6119.9194,5947.7627,5983.587,5917.8325,5977.2476,5798.45,5878.834,6176.6,5798.45
T000001,1994-01-31,1993-10-31,4181.7544,4260.2744,4019.5747,4157.1274,4125.786,4172.988,4050.5781,4136.9756,4089.9897,4094.1562,4240.2,3799.2
T000001,1994-04-30,1993-10-31,4234.5474,4328.162,4052.5703,4260.255,4161.851,4262.951,4114.958,4220.4272,4089.6653,4097.4785,4320.8,3972.6
T000001,1994-07-31,1993-10-31,4297.055,4416.145,4158.739,4358.2246,4261.574,4382.541,4201.611,4251.0225,4089.8882,4119.925,4268.4,4078.2
T000001,1994-10-31,1993-10-31,4282.6753,4411.6094,4123.7915,4446.8003,4237.5645,4414.4136,4182.9224,4265.24,4090.0,4120.2163,4292.6,4090.0
T000002,1994-01-31,1993-10-31,5824.427,5959.965,5631.3735,5951.588,5787.0376,5832.9795,5695.2056,5839.6836,5800.29,5805.9976,5853.55,5405.5
T000002,1994-04-30,1993-10-31,6039.2305,6236.498,5829.7046,6064.2407,6005.0586,5964.2046,5883.268,6081.9517,5803.4805,5812.545,5948.0,5935.5
T000002,1994-07-31,1993-10-31,5954.3506,6227.793,5867.221,6170.007,6079.7607,5963.5073,5916.941,6002.4023,5804.6455,5821.867,5970.0,5864.65
T000002,1994-10-31,1993-10-31,5964.723,6253.5034,5819.8325,6196.231,5997.8438,5990.0615,5901.1123,5972.207,5800.1,5811.799,5692.0,5800.1
T000003,1994-01-31,1993-10-31,4164.0454,4195.89,4218.853,4234.0825,4370.8037,4352.764,4183.457,4149.4404,4069.4626,4118.056,3940.2,4713.0
